Entity Type,Name,Target Keyword,URL Slug,Full URL,Keyword Count,Volume
Retailer,Lowe's,lowe's kitchen deals,lowes-kitchen-deals,https://kitchendeals.org/lowes-kitchen-deals,7,0
Retailer,Costco,costco kitchen deals,costco-kitchen-deals,https://kitchendeals.org/costco-kitchen-deals,6,0
Retailer,Macy's,macy's kitchen deals,macys-kitchen-deals,https://kitchendeals.org/macys-kitchen-deals,3,0
Retailer,Nordstrom,nordstrom kitchen deals,nordstrom-kitchen-deals,https://kitchendeals.org/nordstrom-kitchen-deals,3,20
Retailer,Wayfair,wayfair kitchen deals,wayfair-kitchen-deals,https://kitchendeals.org/wayfair-kitchen-deals,1,0
Category,Kitchen Appliance Packages,kitchen appliance package deals,kitchen-appliance-package-deals,https://kitchendeals.org/kitchen-appliance-package-deals,92,990
Category,Knives,kitchen knife deals,kitchen-knife-deals,https://kitchendeals.org/kitchen-knife-deals,39,280
Category,Cookware,kitchen cookware deals,kitchen-cookware-deals,https://kitchendeals.org/kitchen-cookware-deals,5,20
Category,Ovens & Ranges,kitchen oven deals,kitchen-oven-deals,https://kitchendeals.org/kitchen-oven-deals,6,10
Category,Blenders,kitchen blender deals,kitchen-blender-deals,https://kitchendeals.org/kitchen-blender-deals,2,10
Category,Grills & Griddles,kitchen grill deals,kitchen-grill-deals,https://kitchendeals.org/kitchen-grill-deals,1,10
Category,Mixers,kitchen mixer deals,kitchen-mixer-deals,https://kitchendeals.org/kitchen-mixer-deals,3,0
Category,Microwaves,kitchen microwave deals,kitchen-microwave-deals,https://kitchendeals.org/kitchen-microwave-deals,1,0
Combined,KitchenAid Mixer Deals,kitchenaid mixer deals,kitchenaid-mixer-deals,https://kitchendeals.org/kitchenaid-mixer-deals,0,0
Combined,KitchenAid Amazon Deals,kitchenaid amazon deals,kitchenaid-amazon-deals,https://kitchendeals.org/kitchenaid-amazon-deals,0,0
Combined,KitchenAid Black Friday Deals,kitchenaid black friday deals,kitchenaid-black-friday-deals,https://kitchendeals.org/kitchenaid-black-friday-deals,0,0
Combined,Kitchen Knife Black Friday Deals,kitchen knife black friday deals,kitchen-knife-black-friday-deals,https://kitchendeals.org/kitchen-knife-black-friday-deals,0,0
